Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Cirsium wheeleri,940,15.627,108.696,0.54,12.8,0.273,Cirsium wheeleri,original_Diaz,herb,GIFT
Cladium mariscus,14811.15,15.5,150.37,1.486,1.8467,0.349,Cladium mariscus,original_Diaz,herb,GIFT
Clarisia biflora,5094,21,82.733,29.037,1018.0919,0.513,Clarisia biflora,original_Diaz,tree,GIFT
Clarisia racemosa,2050.23,22.445,86.197,36.593,2136.7148,0.62,Clarisia racemosa,original_Diaz,tree,GIFT
Clausena anisata,670,28.95,89.686,3.5,78.78,0.48,Clausena anisata,original_Diaz,tree,GIFT
Clidemia dentata,7091.95,20.6,38.293,3.381,0.02,0.635,,original_Diaz,tree,GIFT
Clinopodium vulgare,343.27,16.097,36.991,0.357,0.3501,0.238,Clinopodium vulgare,original_Diaz,herb,GIFT
Coccoloba manzinellensis,32598.86,18.332,87.651,12.102,29.87,0.72,Coccoloba manzinellensis,original_Diaz,tree,GIFT
Coccoloba mollis,15690.53,24.445,66.427,20,186.48,0.604,Coccoloba mollis,original_Diaz,tree,GIFT
Coffea arabica,3760.28,31.1,82.982,4.57,189.9041,0.61,Coffea arabica,original_Diaz,shrub,GIFT
Cojoba rufescens,2486.62,26.616,64.12,10.226,236.19,0.675,Cojoba rufescens,original_Diaz,tree,GIFT
Cologania angustifolia,173.33,38.11,57.803,0.13,6.85,0.214,Cologania angustifolia,original_Diaz,herb,GIFT
Colophospermum mopane,675,24.682,96.525,10.483,516.23,0.9,Colophospermum mopane,original_Diaz,tree,GIFT
Comarum palustre,2197.21,13.36,55.303,0.371,0.4222,0.227,Comarum palustre,original_Diaz,herb,GIFT
Combretum adenogonium,3019,13.944,120.604,7.718,97.57,0.64,Combretum adenogonium,original_Diaz,tree,GIFT
Combretum glutinosum,2871.72,12.84,138.764,3.785,83.43,0.9,Combretum glutinosum,original_Diaz,tree,GIFT
Condalia microphylla,10.5,32.6,124.368,1.912,38.5499,0.97,Condalia microphylla,original_Diaz,shrub,GIFT
Condalia montana,35.43,23.215,170.303,3.372,76,0.92,Condalia montana,original_Diaz,shrub,GIFT
Conium maculatum,7195.55,46.28,34.031,1.222,2.5852,0.203,Conium maculatum,original_Diaz,herb,GIFT
Conopodium majus,436.5,38.6,44.483,0.262,2.3102,0.194,Conopodium majus,original_Diaz,herb,GIFT
Consolida regalis,395.61,19.709,41.025,0.277,1.0643,0.172,Delphinium consolida,original_Diaz,herb,GIFT
Convallaria majalis,6948.04,28.043,33.424,0.19,23.9866,0.202,Convallaria majalis,original_Diaz,herb,GIFT
Convolvulus arvensis,670.88,33.674,37.085,0.299,13.3764,0.192,Convolvulus arvensis,original_Diaz,herb,GIFT
Cordia alliodora,6560.78,27.65,84.57,28.429,8.2621,0.424,Cordia alliodora,original_Diaz,tree,GIFT
Cordia bicolor,5606.05,21.362,88.08,26.252,104.8945,0.451,Cordia bicolor,original_Diaz,tree,GIFT
Cordia caffra,670,35.47,82.034,7,275.43,0.71,Cordia caffra,original_Diaz,tree,GIFT
Cordia lasiocalyx,3970.74,24.03,62.86,16.948,150.7743,0.4,Cordia lasiocalyx,original_Diaz,tree,GIFT
Cordia megalantha,5131.7,21.325,85.69,35,149.2,0.39,Cordia megalantha,original_Diaz,tree,GIFT
Cordia nodosa,5895.76,22.087,78.888,9.25,406.9213,0.383,Cordia nodosa,original_Diaz,tree,GIFT
Cordia panamensis,10190.72,25.338,75.939,21.25,60.2556,0.395,Cordia panamensis,original_Diaz,tree,GIFT
Cordobia argentea,196.95,24.343,181.055,1.17,16.5,0.3,Cordobia argentea,original_Diaz,shrub,GIFT
Coreopsis palmata,301.32,13.187,91.621,0.448,1.9295,0.259,Coreopsis palmata,original_Diaz,herb,GIFT
Coreopsis tinctoria,580,14.7,69.444,0.416,0.232,0.297,Coreopsis tinctoria,original_Diaz,herb,GIFT
Cornus florida,4993.09,18.141,46.382,8.413,101.5733,0.8,Cornus florida,original_Diaz,tree,GIFT
Cornus glabrata,1450,23.6,40.584,2.8,37.72,0.68,Cornus glabrata,original_Diaz,tree,GIFT
Cornus sanguinea,1547.45,22.554,52.553,2.302,56.5895,0.609,Cornus sanguinea,original_Diaz,shrub,GIFT
Cornus sericea,2345.51,17.55,45.505,2.663,25.7526,0.48,Cornus sericea,original_Diaz,tree,GIFT
Coronilla coronata,243.12,25.304,60.239,0.407,10.7218,0.179,Coronilla coronata,original_Diaz,herb,GIFT
Coronilla minima,36.11,17.899,57.146,0.188,2.9802,0.207,Coronilla minima,original_Diaz,shrub,GIFT
Coronilla vaginalis,64.53,28.131,56.754,0.067,6.1921,0.158,Coronilla vaginalis,original_Diaz,herb,GIFT
Cortaderia rudiuscula,14429.14,11.189,204.546,1.301,0.14,0.397,Cortaderia rudiuscula,original_Diaz,herb,GIFT
Corymbia citriodora,675,16.4,167.504,15.911,4.6584,0.812,Corymbia citriodora,original_Diaz,tree,GIFT
Corymbia gummifera,2165.89,9.128,201.871,15.296,9.3833,0.755,Corymbia gummifera,original_Diaz,tree,GIFT
Corymbia maculata,2740,15.594,121.065,22.86,9.0168,0.836,Corymbia maculata,original_Diaz,tree,GIFT
Corymbia terminalis,1342,10.24,271.291,10,12.7785,0.86,Corymbia terminalis,original_Diaz,tree,GIFT
Corynephorus canescens,33.5,28.6,66.533,0.156,0.0972,0.311,Corynephorus canescens,original_Diaz,herb,GIFT
Cosmos parviflorus,540,38.57,35.088,0.31,6.3782,0.164,Cosmos parviflorus,original_Diaz,herb,GIFT
Cota tinctoria,292.1,19.12,63.147,0.41,0.4374,0.205,Cota tinctoria,original_Diaz,herb,GIFT
Cotoneaster franchetii,933.01,19.94,105.078,3.127,12.7644,0.652,Cotoneaster franchetii,original_Diaz,shrub,GIFT
Couepia polyandra,8595.99,24.22,63.939,25,2100,0.74,Couepia polyandra,original_Diaz,tree,GIFT
Couratari guianensis,6833.16,23.725,132.62,51.653,236,0.506,Couratari guianensis,original_Diaz,tree,GIFT
Couratari multiflora,2259.48,24.453,90.672,22.498,109.7646,0.449,Couratari multiflora,original_Diaz,tree,GIFT
Coussarea curvigemma,3973.39,25.262,48.281,15.442,26.18,0.63,,original_Diaz,tree,GIFT
Coutarea hexandra,7970.5,22.16,42.727,9.343,3.8349,0.61,Coutarea hexandra,original_Diaz,tree,GIFT
Crepis biennis,6059.66,25.5,32.97,0.659,1.0717,0.16,Crepis biennis,original_Diaz,herb,GIFT
Crepis capillaris,1488.2,27.046,35.008,0.297,0.2005,0.159,Crepis capillaris,original_Diaz,herb,GIFT
Crepis foetida,738,21.47,44.09,0.155,0.5713,0.106,Crepis foetida,original_Diaz,herb,GIFT
Crepis froelichiana,839.86,24.448,53.015,0.255,0.59,0.194,Crepis froelichiana,original_Diaz,herb,GIFT
Crepis paludosa,2260,26.252,26.676,0.555,0.5846,0.169,Crepis paludosa,original_Diaz,herb,GIFT
Crepis pyrenaica,3049.25,26.3,33.215,0.401,2.4926,0.243,Crepis pyrenaica,original_Diaz,herb,GIFT
Crepis tectorum,110.62,14.118,48.694,0.208,0.41,0.174,Crepis tectorum,original_Diaz,herb,GIFT
Crepis vesicaria,1080.42,24.236,51.986,0.454,0.3557,0.18,Crepis vesicaria,original_Diaz,herb,GIFT
Croton billbergianus,14570.51,35.487,52.107,19.912,24,0.475,Croton billbergianus,original_Diaz,tree,GIFT
Croton capitatus,630.25,24.97,71.736,0.457,19.8989,0.567,Croton capitatus,original_Diaz,herb,GIFT
Croton schiedeanus,5706.54,19.15,65.638,15,53,0.53,Croton schiedeanus,original_Diaz,tree,GIFT
Cruciata glabra,68.67,17,30.404,0.18,1.43,0.197,Cruciata glabra,original_Diaz,herb,GIFT
Cruciata laevipes,64.54,23.98,29.716,0.395,2.7952,0.217,Cruciata laevipes,original_Diaz,herb,GIFT
Cryptomeria japonica,8.4,13.761,146.266,38.689,3.0516,0.346,Cryptomeria japonica,original_Diaz,tree,GIFT
Cunninghamia lanceolata,700,14.442,98.935,30.546,5.6608,0.31,Cunninghamia lanceolata,original_Diaz,tree,GIFT
Cupania cinerea,12449.09,22.2,88.76,17.777,332.7823,0.557,Cupania cinerea,original_Diaz,tree,GIFT
Cupania latifolia,11425.19,19.01,97.287,21.307,244.0773,0.587,Cupania latifolia,original_Diaz,tree,GIFT
Cupania rufescens,12798.2,17.845,89.039,18.086,227.69,0.605,Cupania rufescens,original_Diaz,tree,GIFT
Cupania scrobiculata,8172.71,20.218,92.006,13.656,123.8883,0.678,Cupania scrobiculata,original_Diaz,tree,GIFT
Cupania seemannii,8086.1,26.885,63.212,20.26,221.72,0.708,Cupania seemannii,original_Diaz,tree,GIFT
Cupressus sempervirens,1,8.058,171.821,31.582,7.7612,0.5,Cupressus sempervirens,original_Diaz,tree,GIFT
Curatella americana,7696.92,9.3,120.72,2.37,18.89,0.65,Curatella americana,original_Diaz,tree,GIFT
Cussonia spicata,680,16.17,117.647,10.964,20.66,0.443,Cussonia spicata,original_Diaz,tree,GIFT
Cyanus segetum,239.83,17.863,47.483,0.485,4.4736,0.19,Centaurea cyanus,original_Diaz,herb,GIFT
Cyanus triumfettii,1687.99,28.006,38.034,0.213,9.9797,0.139,Centaurea triumfettii,original_Diaz,herb,GIFT
Cyclamen purpurascens,1816.38,32.83,28.731,0.082,5.8,0.15,Cyclamen purpurascens,original_Diaz,herb,GIFT
Cymbopetalum baillonii,10075.37,13.18,110.193,25,319.342,0.58,Cymbopetalum baillonii,original_Diaz,tree,GIFT
Cynodon dactylon,85.27,28.789,38.287,0.181,0.1719,0.237,Cynodon dactylon,original_Diaz,herb,GIFT
Cynometra retusa,1309.5,11.8,128.537,30,6500,0.8,Cynometra retusa,original_Diaz,tree,GIFT
Cynosurus cristatus,346.37,21.671,40.828,0.422,0.5162,0.223,Cynosurus cristatus,original_Diaz,herb,GIFT
Cytisus scoparius,18.34,31.075,63.054,1.35,7.9474,0.681,Cytisus scoparius,original_Diaz,shrub,GIFT
Dacrydium cupressinum,3.8,10.743,109.319,30.832,6.1219,0.486,Dacrydium cupressinum,original_Diaz,tree,GIFT
Dactylis glomerata,1457.46,20.996,44.327,0.691,0.8078,0.251,Dactylis glomerata,original_Diaz,herb,GIFT
Dalea candida,58.05,29.492,94.379,0.47,1.6384,0.673,Dalea candida,original_Diaz,herb,GIFT
Dalea polygonoides,68,44.72,53.763,0.21,1.37,0.2,Dalea polygonoides,original_Diaz,herb,GIFT
Dalea purpurea,18.69,24.3,83.859,0.536,1.8154,0.575,Dalea purpurea,original_Diaz,herb,GIFT
Daniellia oliveri,5227.04,16.216,106.719,4.062,1234.46,0.488,Daniellia oliveri,original_Diaz,tree,GIFT
Danthonia decumbens,417.23,16.872,61.586,0.221,1.0357,0.262,Danthonia decumbens,original_Diaz,herb,GIFT
Danthonia spicata,730.6,8.2,117.893,0.466,0.5522,0.388,Danthonia spicata,original_Diaz,herb,GIFT
Daphniphyllum pentandrum,700,18.22,70.922,8.287,6.16,0.53,Daphniphyllum pentandrum,original_Diaz,tree,GIFT
Datura stramonium,14738.85,57.728,46.64,0.796,9.1799,0.161,Datura stramonium,original_Diaz,herb,GIFT
Daucus carota,1056.88,23.188,53.553,0.418,1.0622,0.148,Daucus carota,original_Diaz,herb,GIFT
Delphinium grandiflorum,79,25.43,61.641,0.566,1.21,0.267,Delphinium grandiflorum,original_Diaz,herb,GIFT
Dendropanax arboreus,5121.04,14.992,84.761,15.272,8.8692,0.416,Dendropanax arboreus,original_Diaz,tree,GIFT
Deschampsia cespitosa,498.52,18.138,68.975,0.616,0.2325,0.268,Deschampsia cespitosa,original_Diaz,herb,GIFT
Deschampsia flexuosa,50.84,18.397,38.389,0.301,1.6686,0.324,Avenella flexuosa,original_Diaz,herb,GIFT
Descurainia sophia,765.19,46.94,46.495,0.403,0.1105,0.188,Descurainia sophia,original_Diaz,herb,GIFT
Desmopsis panamensis,6766.94,22.1,58.386,11.89,131.92,0.675,Desmopsis panamensis,original_Diaz,tree,GIFT
Deyeuxia hieronymi,124.16,19.932,94.958,0.662,0.3,0.385,,original_Diaz,tree,GIFT
Dialium guianense,255.52,26.269,61.012,33.7,224.6108,0.79,Dialium guianense,original_Diaz,tree,GIFT
Dianthus armeria,231,19.75,67.586,0.407,0.3106,0.19,Dianthus armeria,original_Diaz,herb,GIFT
Dianthus chinensis,65.5,22.715,81.584,0.241,1.5349,0.273,Dianthus chinensis,original_Diaz,herb,GIFT
Dianthus seguieri,122.15,17.66,62.792,0.325,0.8899,0.231,Dianthus seguieri,original_Diaz,herb,GIFT
Dianthus sylvestris,173.17,29.566,129.703,0.107,0.4395,0.241,Dianthus sylvestris,original_Diaz,herb,GIFT
Diapensia lapponica,11.77,13.55,130.007,0.033,0.12,0.279,Diapensia lapponica,original_Diaz,shrub,GIFT
Dictamnus albus,910.82,30.492,47.969,0.78,14.8305,0.206,Dictamnus albus,original_Diaz,herb,GIFT
Digitalis grandiflora,2932.91,21.6,36.698,0.66,0.1683,0.19,Digitalis grandiflora,original_Diaz,herb,GIFT
Digitalis purpurea,32067.96,37.8,57.334,0.814,0.0798,0.219,Digitalis purpurea,original_Diaz,herb,GIFT
Digitaria sanguinalis,504.81,13.145,27.696,0.265,0.5172,0.135,Digitaria sanguinalis,original_Diaz,herb,GIFT
Dillenia indica,37709.95,13.6,91.912,20.062,21.65,0.58,Dillenia indica,original_Diaz,tree,GIFT
Dioscorea oppositifolia,3009.5,24.602,27.609,1.5,4.83,0.201,Dioscorea oppositifolia,original_Diaz,herb,GIFT
Diospyros artanthifolia,6410.61,15.659,88.222,17.932,600,0.645,Diospyros artanthifolia,original_Diaz,tree,GIFT
Diplorhynchus condylocarpon,3019,13.682,98,5.18,200.32,0.66,Diplorhynchus condylocarpon,original_Diaz,tree,GIFT
Diplospora dubia,2680.3,21.24,75.8,7.75,5.2,0.647,Diplospora dubia,original_Diaz,tree,GIFT
Diplotropis purpurea,2050.23,22.618,85.742,34.943,137.2061,0.752,Diplotropis purpurea,original_Diaz,tree,GIFT
Dipsacus fullonum,14718.35,13.782,53.84,1.22,2.7233,0.183,Dipsacus fullonum,original_Diaz,herb,GIFT
Dipterocarpus grandiflorus,19624.98,14.63,61.125,45,20760,0.669,Dipterocarpus grandiflorus,original_Diaz,tree,GIFT
Dirca occidentalis,1362.36,24.769,51.642,1.977,14.0695,0.325,Dirca occidentalis,original_Diaz,shrub,GIFT
Dodonaea viscosa,239.72,18.939,146.65,2.478,5.7578,1.004,Dodonaea viscosa,original_Diaz,tree,GIFT
Doellingeria umbellata,2098.1,14.201,40.668,0.923,0.5,0.184,Doellingeria umbellata,original_Diaz,herb,GIFT
Doliocarpus dentatus,7238.64,14.68,95.288,2.495,10.44,0.445,Doliocarpus dentatus,original_Diaz,shrub,GIFT
Dorycnium hirsutum,56,31.92,61.928,0.354,4.505,0.297,Lotus hirsutus,original_Diaz,shrub,GIFT
Draba asprella,36,9.4,80,0.01,0.09,0.29,Draba asprella,original_Diaz,herb,GIFT
Draba hispida,14.35,34.59,22.91,0.05,0.1,0.148,Draba hispida,original_Diaz,herb,GIFT
Drimys winteri,3122,8.991,141.295,14.776,7.481,0.472,Drimys winteri,original_Diaz,tree,GIFT
Drosera rotundifolia,47.44,12.688,24.446,0.077,0.0129,0.164,Drosera rotundifolia,original_Diaz,herb,GIFT
Dryandra sessilis,400,8.134,214.133,2.714,13.14,0.771,Banksia sessilis,original_Diaz,shrub,GIFT
Drymaria leptophylla,1.73,10.76,50,0.02,0.03,0.143,Drymaria leptophylla,original_Diaz,herb,GIFT
Dryobalanops lanceolata,1885,16.022,161.29,15,8300,0.58,Dryobalanops lanceolata,original_Diaz,tree,GIFT
Drypetes standleyi,3303.78,16.16,88.071,30.828,170.7,0.663,Drypetes standleyi,original_Diaz,tree,GIFT
Duchesnea indica,1547.73,28.06,33.025,0.14,0.2958,0.211,Potentilla indica,original_Diaz,herb,GIFT
Duguetia quitarensis,6136.09,26.98,53.668,14,350.1546,0.793,Duguetia quitarensis,original_Diaz,tree,GIFT
Dussia mexicana,3677.4,15.82,82.002,40,3400,0.51,Dussia mexicana,original_Diaz,tree,GIFT
Ecclinusa ramiflora,15411.74,18.98,103.711,22.795,1138.0588,0.577,Ecclinusa ramiflora,original_Diaz,tree,GIFT
Echeandia flavescens,840,23.96,42.735,0.23,1.11,0.136,Echeandia flavescens,original_Diaz,herb,GIFT
Echinochloa crus-galli,2226.99,16.121,39.235,0.58,1.5232,0.201,Echinochloa crus-galli,original_Diaz,herb,GIFT
Echinops ritro,1779.04,19.76,111.01,0.5,16.7503,0.19,Echinops ritro,original_Diaz,herb,GIFT
Echium plantagineum,3162,16.98,61.2,0.287,3.4524,0.191,Echium plantagineum,original_Diaz,herb,GIFT
Echium vulgare,4523,23.6,67.138,0.511,2.8512,0.169,Echium vulgare,original_Diaz,herb,GIFT
Ekebergia capensis,1113.25,20.807,133.131,24.495,412.0788,0.415,Ekebergia capensis,original_Diaz,tree,GIFT
Elaeagnus angustifolia,1120,39.8,80.645,13.562,96.509,0.477,Elaeagnus angustifolia,original_Diaz,shrub,GIFT
Elaeocarpus sylvestris,3770,21.085,70.761,17.5,290,0.47,Elaeocarpus sylvestris,original_Diaz,tree,GIFT
Elaphoglossum alatum,13402.58,8.92,104,0.392,2.00E-05,0.433,Elaphoglossum alatum,original_Diaz,herb,GIFT
Elaphoglossum gayanum,1434.12,14.1,130,0.16,2.00E-05,0.433,Elaphoglossum gayanum,original_Diaz,herb,GIFT
Eleocharis palustris,276.77,19.448,75.146,0.317,0.833,0.189,Eleocharis palustris,original_Diaz,herb,GIFT
Eleusine indica,769.08,26.485,37.576,0.303,0.3668,0.205,Eleusine indica,original_Diaz,herb,GIFT
Elymus athericus,316,15,128.579,0.812,4.625,0.411,Elymus athericus,original_Diaz,herb,GIFT
Elymus canadensis,2209.05,21.28,54.816,1.098,4.0599,0.336,Elymus canadensis,original_Diaz,herb,GIFT
Elymus caninus,1140.7,38,35.993,0.847,3.684,0.275,Elymus caninus,original_Diaz,herb,GIFT
Elymus elymoides,360,16.768,71.942,0.323,3.2729,0.324,Elymus elymoides,original_Diaz,herb,GIFT
Elymus repens,980.81,26.453,47.325,0.572,2.3627,0.271,Elymus repens,original_Diaz,herb,GIFT
Elymus smithii,775.95,20.125,43.245,0.607,3.5386,0.336,Elymus smithii,original_Diaz,herb,GIFT
Elymus trachycaulus,340.07,13.85,86.957,0.647,3.131,0.357,Elymus violaceus,original_Diaz,herb,GIFT
Embothrium coccineum,940.7,14.683,110.476,12.247,15.8821,0.49,Embothrium coccineum,original_Diaz,tree,GIFT
Emmotum fagifolium,4840.28,14.061,132.586,17.944,550.7465,0.725,Emmotum fagifolium,original_Diaz,tree,GIFT
Endospermum diadenum,7522.64,20.783,72.938,6,9.9,0.413,Endospermum diadenum,original_Diaz,tree,GIFT
Enterolobium schomburgkii,434.85,28.425,111.982,24.788,60.9875,0.689,Enterolobium schomburgkii,original_Diaz,tree,GIFT
Eperua falcata,3299.63,16.305,79.483,20.043,6015.2601,0.718,Eperua falcata,original_Diaz,tree,GIFT
Eperua grandiflora,3063.57,15.015,126.747,21.887,12520.7137,0.719,Eperua grandiflora,original_Diaz,tree,GIFT
Epilobium angustifolium,2207.76,28.668,56.708,0.832,0.0655,0.255,Epilobium angustifolium,original_Diaz,herb,GIFT
Epilobium brachycarpum,59,30.48,46.296,0.28,0.3152,0.185,Epilobium brachycarpum,original_Diaz,herb,GIFT
Epilobium coloratum,205.28,18.2,41.365,1,0.1095,0.226,Epilobium coloratum,original_Diaz,herb,GIFT
Epilobium fleischeri,63.43,14.642,80.04,0.277,0.1456,0.207,Epilobium fleischeri,original_Diaz,herb,GIFT
Epilobium hirsutum,1147.99,30.001,36.21,1.151,0.1147,0.201,Epilobium hirsutum,original_Diaz,herb,GIFT
Epilobium palustre,299.58,15.08,26.931,0.27,0.0639,0.127,Epilobium palustre,original_Diaz,herb,GIFT
Epilobium parviflorum,769.05,24.81,33.437,0.494,0.0797,0.178,Epilobium parviflorum,original_Diaz,herb,GIFT
Epipactis atrorubens,1177.63,36.77,38.415,0.393,0.01,0.198,Epipactis atrorubens,original_Diaz,herb,GIFT
Epipactis helleborine,1616.85,34.328,33.332,0.505,0.004,0.139,Epipactis helleborine,original_Diaz,herb,GIFT
Equisetum arvense,112.82,20.038,72.615,0.349,2.00E-05,0.2,Equisetum arvense,original_Diaz,herb,GIFT
Equisetum fluviatile,156.54,14.83,72.649,0.941,2.00E-05,0.2,Equisetum fluviatile,original_Diaz,herb,GIFT
Equisetum palustre,65.3,29.202,102.087,0.331,2.00E-05,0.2,Equisetum palustre,original_Diaz,herb,GIFT
Equisetum sylvaticum,231.2,21.803,41.973,0.27,2.00E-05,0.2,Equisetum sylvaticum,original_Diaz,herb,GIFT
Eragrostis cilianensis,94.11,23.174,40.7,0.222,0.07,0.275,Eragrostis cilianensis,original_Diaz,herb,GIFT
Eragrostis mexicana,440,23.14,24.038,0.24,0.1029,0.242,Eragrostis mexicana,original_Diaz,herb,GIFT
Eragrostis minor,113.11,18.4,29.069,0.179,0.08,0.204,Eragrostis minor,original_Diaz,herb,GIFT
Eragrostis spectabilis,479.97,10.935,55.826,0.349,0.0475,0.284,Eragrostis spectabilis,original_Diaz,herb,GIFT
Eremogone fendleri,32,17.36,78.125,0.07,0.36,0.3,Eremogone fendleri,original_Diaz,herb,GIFT
Eremophila longifolia,255.18,14.653,252.395,3.018,2.453,0.7,Eremophila longifolia,original_Diaz,shrub,GIFT
Eremophila mitchellii,92.06,20.796,169.321,4.662,1.46,0.967,Eremophila mitchellii,original_Diaz,shrub,GIFT
Erica herbacea,6.27,11.802,99.357,0.173,0.1208,0.266,Calluna vulgaris,original_Diaz,shrub,GIFT
Erica tetralix,3.97,11.347,102.903,0.334,0.0108,0.576,Erica tetralix,original_Diaz,shrub,GIFT
Ericameria nauseosa var. nauseosa,28.27,20.576,122.249,1,0.8178,0.643,Ericameria nauseosa,original_Diaz,shrub,GIFT
Erigeron acer,355.5,21,53.825,0.34,0.0918,0.195,Tetramolopium macrum,original_Diaz,herb,GIFT
Erigeron alpinus,269.68,23.38,55.31,0.118,0.23,0.211,Erigeron alpinus,original_Diaz,herb,GIFT
Erigeron annuus,771.09,13.808,41.819,0.747,0.0323,0.236,Erigeron annuus,original_Diaz,herb,GIFT
Erigeron canadensis,290.83,26.578,52.834,0.374,0.0508,0.217,Erigeron canadensis,original_Diaz,herb,GIFT
Erigeron divergens,65,19.27,56.18,0.13,0.0346,0.345,Erigeron divergens,original_Diaz,herb,GIFT
Erigeron flagellaris,60,10.53,66.225,0.11,0.0387,0.223,Erigeron flagellaris,original_Diaz,herb,GIFT
Erigeron formosissimus,180,16.44,66.225,0.11,0.1744,0.241,Erigeron formosissimus,original_Diaz,herb,GIFT
Erigeron karvinskianus,217.45,23.039,31.917,0.35,0.04,0.196,Erigeron karvinskianus,original_Diaz,herb,GIFT
Erigeron speciosus,359.55,21.43,40.78,0.33,0.1789,0.211,Erigeron speciosus,original_Diaz,herb,GIFT
Erigeron strigosus,315.67,22.847,39.945,0.599,0.1561,0.366,Erigeron strigosus,original_Diaz,herb,GIFT
Erigeron uniflorus,92.31,33.05,44.616,0.053,0.18,0.192,Erigeron uniflorus,original_Diaz,herb,GIFT
Eriobotrya japonica,12693.05,13.935,193.834,6.082,1443.8032,0.696,Eriobotrya japonica,original_Diaz,tree,GIFT
Eriodictyon californicum,986.04,13.775,206.563,2.397,0.2895,0.54,Eriodictyon californicum,original_Diaz,shrub,GIFT
Eriogonum alatum,420,17.44,121.951,0.06,5.7149,0.225,Eriogonum alatum,original_Diaz,herb,GIFT
Eriogonum pharnaceoides,84,17.1,71.942,0.21,0.18,0.201,Eriogonum pharnaceoides,original_Diaz,herb,GIFT
Eriogonum racemosum,720,18.87,116.279,0.05,2.762,0.27,Eriogonum racemosum,original_Diaz,herb,GIFT
Eriophorum angustifolium,1159.4,19.233,113.744,0.28,0.4922,0.293,Eriophorum angustifolium,original_Diaz,herb,GIFT
Eriophorum vaginatum,281.02,17.565,151.132,0.424,0.8501,0.297,Eriophorum vaginatum,original_Diaz,herb,GIFT
Erodium cicutarium,220.59,27.493,44.602,0.108,1.7063,0.204,Erodium cicutarium,original_Diaz,herb,GIFT
Erodium glaucophyllum,276.1,23.519,116.707,0.331,1.38,0.201,Erodium glaucophyllum,original_Diaz,herb,GIFT
Eruca vesicaria,359.41,30.197,58.059,0.314,1.0319,0.164,Eruca vesicaria,original_Diaz,herb,GIFT
Eryngium agavifolium,3000.73,15.832,152.367,0.172,1.412,0.18,Eryngium agavifolium,original_Diaz,herb,GIFT
Eryngium campestre,15555.78,20.972,122.9,0.283,1.3639,0.226,Eryngium campestre,original_Diaz,herb,GIFT
Eryngium horridum,3454.53,9.962,325.343,0.306,1.8,0.237,Eryngium horridum,original_Diaz,herb,GIFT
Eryngium yuccifolium,2573.67,8.4,149.031,0.471,2.8302,0.426,Eryngium yuccifolium,original_Diaz,herb,GIFT
Erythrina folkersii,13130.8,27.793,48.567,8,300,0.38,Erythrina folkersii,original_Diaz,tree,GIFT
Erythronium dens-canis,2122.51,32.836,51.941,0.3,3.77,0.126,Erythronium dens-canis,original_Diaz,herb,GIFT
Erythrophleum chlorostachys,1648.91,23.701,99.335,11.745,575.1,1.092,Erythrophleum chlorostachys,original_Diaz,tree,GIFT
Erythroxylum panamense,2554.21,23.745,42.376,7.935,23.2,0.739,Erythroxylum panamense,original_Diaz,tree,GIFT
Eschweilera coriacea,9021,19.385,105.131,33.779,26000,0.712,Eschweilera coriacea,original_Diaz,tree,GIFT
Eschweilera decolorans,6813.4,22.383,110.34,30,1300.4522,0.738,Eschweilera decolorans,original_Diaz,tree,GIFT
Eschweilera parviflora,5610.98,21.247,95.341,18.71,2000,0.914,Eschweilera parviflora,original_Diaz,tree,GIFT
Eschweilera sagotiana,6341.13,12.4,145.118,21.883,1711.0727,0.799,Eschweilera sagotiana,original_Diaz,tree,GIFT
Eucalyptus acmenoides,1178.49,11.6,213.22,30,4.91,0.86,Eucalyptus acmenoides,original_Diaz,tree,GIFT
Eucalyptus blakelyi,1618.21,15.1,204.701,8,0.5593,0.811,Eucalyptus blakelyi,original_Diaz,tree,GIFT
Eucalyptus botryoides,3165.34,8.1,122.399,8,1.9351,0.73,Eucalyptus botryoides,original_Diaz,tree,GIFT
Eucalyptus camaldulensis,1303,26.5,233.645,38.247,0.8796,0.772,Eucalyptus camaldulensis,original_Diaz,tree,GIFT
Eucalyptus diversicolor,675,11.995,210.084,48.99,3.0038,0.743,Eucalyptus diversicolor,original_Diaz,tree,GIFT
Eucalyptus dumosa,1069.47,9.393,318.8,6.732,2.2221,1.15,Eucalyptus dumosa,original_Diaz,tree,GIFT
Eucalyptus gomphocephala,117.92,13.096,261.655,40,8.5481,0.86,Eucalyptus gomphocephala,original_Diaz,tree,GIFT
Eucalyptus grandis,3019,18.975,93.809,48.674,1.1703,0.656,Eucalyptus grandis,original_Diaz,tree,GIFT
Eucalyptus haemastoma,2225.53,10.452,198.025,12.806,0.949,0.705,Eucalyptus haemastoma,original_Diaz,tree,GIFT
Eucalyptus intertexta,941.77,14.65,191.855,13.928,3.8223,1.03,Eucalyptus intertexta,original_Diaz,tree,GIFT
Eucalyptus marginata,3019,8.15,203.05,28.845,32.4939,0.7,Eucalyptus marginata,original_Diaz,tree,GIFT
Eucalyptus obliqua,1678.84,10.542,189.905,25,10.6592,0.605,Eucalyptus obliqua,original_Diaz,tree,GIFT
