Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Alchemilla pinnata,261.74,20.821,71.143,0.031,0.2912,0.225,Alchemilla pinnata,original_Diaz,herb,GIFT
Alchemilla xanthochlora,5234.06,26.775,48.962,0.279,0.3002,0.226,Alchemilla xanthochlora,original_Diaz,herb,GIFT
Alchornea costaricensis,3263.47,22.297,62.664,25.51,35.2428,0.333,Alchornea costaricensis,original_Diaz,tree,GIFT
Alchornea latifolia,7668.14,16.325,77.473,15.779,34,0.429,Alchornea latifolia,original_Diaz,tree,GIFT
Alibertia edulis,2855.08,33.77,62.428,11.268,14.2226,0.777,Alibertia edulis,original_Diaz,tree,GIFT
Alisma gramineum,4825.48,32.734,43.501,0.233,0.4197,0.056,Alisma gramineum,original_Diaz,herb,GIFT
Alliaria petiolata,2958.08,42.443,23.232,0.438,2.9344,0.37,Alliaria petiolata,original_Diaz,herb,GIFT
Allium carinatum,1280,22.76,47.505,0.357,1.2264,0.1,Allium carinatum,original_Diaz,herb,GIFT
Allium ericetorum,267.73,28.213,107.91,0.247,1.57,0.15,Allium ericetorum,original_Diaz,herb,GIFT
Allium senescens,359.5,27.29,76.22,0.153,1.68,0.127,Allium senescens,original_Diaz,herb,GIFT
Allium sphaerocephalon,1940.63,27.031,175.439,0.322,1.451,0.118,Allium sphaerocephalon,original_Diaz,herb,GIFT
Allium ursinum,6408.8,36.931,27.597,0.306,5.2528,0.096,Allium ursinum,original_Diaz,herb,GIFT
Allophylus amazonicus,6136.09,19.85,56.964,10,78.63,0.55,Allophylus amazonicus,original_Diaz,tree,GIFT
Allophylus camptostachys,1515.43,11.293,107.354,15,120,0.77,Allophylus camptostachys,original_Diaz,tree,GIFT
Allophylus cobbe,5381.53,15.39,89.537,24.073,365.816,0.528,Allophylus cobbe,original_Diaz,tree,GIFT
Allophylus psilospermus,3575.73,34.39,39.492,18.963,48.5897,0.535,Allophylus psilospermus,original_Diaz,tree,GIFT
Alnus cordata,5482.87,27.095,44.121,18.841,3.5062,0.391,Alnus cordata,original_Diaz,tree,GIFT
Alnus glutinosa,3070.29,30.938,68.113,17.798,1.601,0.459,Alnus glutinosa,original_Diaz,tree,GIFT
Alnus incana,2583.96,33.702,55.298,9.535,0.6649,0.468,Alnus incana,original_Diaz,tree,GIFT
Alnus rhombifolia,3646.68,27.508,58.045,23.726,0.5591,0.52,Alnus rhombifolia,original_Diaz,tree,GIFT
Alopecurus pratensis,1156.15,23.824,39.355,0.597,0.7868,0.432,Alopecurus pratensis,original_Diaz,herb,GIFT
Aloysia gratissima,216.59,38.3,126.543,1.85,0.26,0.79,Aloysia gratissima,original_Diaz,shrub,GIFT
Alseis blackiana,8874.62,31.978,50.152,31.106,0.1276,0.547,Alseis blackiana,original_Diaz,tree,GIFT
Alstonia scholaris,6510.48,22.3,107.066,16.295,5.8946,0.368,Alstonia scholaris,original_Diaz,tree,GIFT
Alternanthera pungens,314.16,38.968,38.872,0.11,0.33,0.206,Alternanthera pungens,original_Diaz,herb,GIFT
Amaioua corymbosa,8545.77,17.931,67.99,15.147,9.74,0.675,Amaioua glomerulata,original_Diaz,tree,GIFT
Amaranthus deflexus,886.56,43.493,28.815,0.32,0.4228,0.159,Amaranthus deflexus,original_Diaz,herb,GIFT
Amaranthus hybridus,2139.07,35.38,51.691,0.671,0.4796,0.199,Amaranthus hybridus,original_Diaz,herb,GIFT
Amaranthus powellii subsp. bouchonii,1820.03,43.575,42.46,0.528,0.3999,0.199,Amaranthus hybridus,original_Diaz,herb,GIFT
